Date;Entrées
janv-80;14492080
févr-80;15391220
mars-80;15768690
avr-80;14597880
mai-80;13396210
juin-80;11559150
juil-80;12895990
août-80;13378810
sept-80;13777470
oct-80;15383230
nov-80;15723610
déc-80;19062760
janv-81;16067760
févr-81;15842730
mars-81;15317260
avr-81;14742860
mai-81;13668160
juin-81;11926230
juil-81;13516130
août-81;14595630
sept-81;16274510
oct-81;17979390
nov-81;18211660
déc-81;21088810
janv-82;19525820
févr-82;18081640
mars-82;18059450
avr-82;16497530
mai-82;13964070
juin-82;11686800
juil-82;12805950
août-82;15971960
sept-82;13829580
oct-82;20598570
nov-82;19135590
déc-82;21777280
janv-83;18521910
févr-83;17257520
mars-83;19126320
avr-83;18428750
mai-83;15795400
juin-83;11327450
juil-83;11306960
août-83;14325470
sept-83;14365510
oct-83;19495520
nov-83;18878640
déc-83;20038540
janv-84;16792580
févr-84;16540310
mars-84;17865650
avr-84;16738940
mai-84;14652540
juin-84;10691210
juil-84;11388030
août-84;13651250
sept-84;15242790
oct-84;18739480
nov-84;17954220
déc-84;20610100
janv-85;13523540
févr-85;14972470
mars-85;17482810
avr-85;15412100
mai-85;12289900
juin-85;10756340
juil-85;10924590
août-85;13089900
sept-85;14167320
oct-85;17729010
nov-85;16130340
déc-85;18600470
janv-86;15395920
févr-86;15534380
mars-86;15589830
avr-86;16649410
mai-86;12284130
juin-86;9360750
juil-86;10097650
août-86;11655600
sept-86;11983978
oct-86;16422060
nov-86;15417040
déc-86;17737930
janv-87;12764180
févr-87;14723190
mars-87;13463780
avr-87;12922120
mai-87;9193500
juin-87;9248250
juil-87;8004670
août-87;9551200
sept-87;9542430
oct-87;12342820
nov-87;11812820
déc-87;13374790
janv-88;10958120
févr-88;11712220
mars-88;11308880
avr-88;10182460
mai-88;7544170
juin-88;7171300
juil-88;8067640
août-88;8357330
sept-88;8717100
oct-88;15445120
nov-88;12179130
déc-88;13105810
janv-89;11763670
févr-89;11405220
mars-89;12033000
avr-89;11683420
mai-89;7245736
juin-89;6697164
juil-89;7117810
août-89;8888458
sept-89;8640052
oct-89;11872473
nov-89;10706305
déc-89;12860372
janv-90;9855243
févr-90;13152820
mars-90;10389317
avr-90;12897221
mai-90;7032864
juin-90;6665212
juil-90;6837144
août-90;8424450
sept-90;10540174
oct-90;11631595
nov-90;11351160
déc-90;13147302
janv-91;10341814
févr-91;10886520
mars-91;11286621
avr-91;10778690
mai-91;9051546
juin-91;7086121
juil-91;6519267
août-91;8837880
sept-91;8608960
oct-91;12725230
nov-91;10852970
déc-91;10522470
janv-92;9784160
févr-92;10656600
mars-92;9758790
avr-92;10438500
mai-92;7901050
juin-92;7779350
juil-92;7334620
août-92;9542590
sept-92;9036950
oct-92;11162000
nov-92;9785930
déc-92;12814600
janv-93;10885200
févr-93;11745500
mars-93;10765000
avr-93;11319500
mai-93;9365620
juin-93;9294690
juil-93;8651340
août-93;9168870
sept-93;9756090
oct-93;16420400
nov-93;11807700
déc-93;13543800
janv-94;9778002
févr-94;11845010
mars-94;11582370
avr-94;11300950
mai-94;8915954
juin-94;8006753
juil-94;5739955
août-94;8552545
sept-94;9649261
oct-94;11265058
nov-94;11903306
déc-94;15879627
janv-95;12015595
févr-95;13873376
mars-95;10917603
avr-95;11723590
mai-95;7754064
juin-95;8382406
juil-95;6415656
août-95;9208765
sept-95;8484376
oct-95;14030775
nov-95;12065101
déc-95;15364170
janv-96;11924100,43
févr-96;13674716,86
mars-96;12750380,71
avr-96;11707283
mai-96;10119748,43
juin-96;7891974,571
juil-96;7791081,714
août-96;9797659,571
sept-96;8882137,429
oct-96;14444498,29
nov-96;12859378,43
déc-96;14897625,57
janv-97;10845806
févr-97;12452200
mars-97;13054576
avr-97;12453375
mai-97;12432429
juin-97;11058873
juil-97;9139322
août-97;11291977
sept-97;8605011
oct-97;13859457
nov-97;17214689
déc-97;16851319
janv-98;17166544
févr-98;20605456
mars-98;15248976
avr-98;17508118
mai-98;11587763,29
juin-98;10064823,79
juil-98;9359996,99
août-98;11900556,31
sept-98;10912474,53
oct-98;16071605
nov-98;14054580
déc-98;16121730
janv-99;12686772
févr-99;18321606
mars-99;12622277
avr-99;11727716
mai-99;8588576
juin-99;11372354
juil-99;9372109
août-99;12411080
sept-99;9740810
oct-99;14403147
nov-99;14454937
déc-99;17906785
janv-00;14888543
févr-00;17456992
mars-00;14438051
avr-00;20957971
mai-00;9832192
juin-00;11052714
juil-00;10726584
août-00;11930556
sept-00;10412189
oct-00;13516296
nov-00;13846624
déc-00;16698802
janv-01;16458212
févr-01;22510305
mars-01;18064101
avr-01;17257532
mai-01;10707274
juin-01;10868786
juil-01;11853111
août-01;13712212
sept-01;12578247
oct-01;15042960
nov-01;14100277
déc-01;24301316
janv-02;16217059
févr-02;23242180
mars-02;14873734
avr-02;14765915
mai-02;13115843
juin-02;14331263
juil-02;11992606
août-02;13040058
sept-02;9513996
oct-02;15892012
nov-02;15146140
déc-02;22278836
janv-03;14218465,77
févr-03;19033819,34
mars-03;15716422,48
avr-03;12364760,07
mai-03;14094123,32
juin-03;10748361,28
juil-03;9938469,48
août-03;13379816,35
sept-03;10908619,93
oct-03;14405014,7
nov-03;17269273,34
déc-03;21380123,96
janv-04;15214186,54
févr-04;19984671,27
mars-04;15372360,12
avr-04;17422518,56
mai-04;15274035,08
juin-04;18854435,21
juil-04;16278831,15
août-04;15030361,08
sept-04;9841925,982
oct-04;17278576,38
nov-04;15179537,64
déc-04;20113875
janv-05;14333038,17
févr-05;16802570,79
mars-05;14287242,86
avr-05;15590866,01
mai-05;13875268,17
juin-05;12374657,56
juil-05;14388144,78
août-05;12465766,72
sept-05;8389384,487
oct-05;14572032,02
nov-05;14693435,98
déc-05;23858553,45
janv-06;14332212
févr-06;22836779
mars-06;14983693,96
avr-06;20852477,85
mai-06;18412368,2
juin-06;11839498,15
juil-06;10130112,39
août-06;15037750,71
sept-06;9837940,891
oct-06;13442177,86
nov-06;16731897,78
déc-06;20324719,22
janv-07;15352152,16
févr-07;19735763,21
mars-07;17505229,52
avr-07;12282206,79
mai-07;15947300,39
juin-07;13500317,16
juil-07;16199264,79
août-07;16316723,07
sept-07;9357540,715
oct-07;11607079,38
nov-07;13087976,16
déc-07;17592594,67
janv-08;14873134,64
févr-08;20712725,17
mars-08;27056405,81
avr-08;15810985,49
mai-08;12327157,19
juin-08;11003643,03
juil-08;13356747,71
août-08;14727462,12
sept-08;9855221,844
oct-08;14491170,89
nov-08;18075338,12
déc-08;18018488,99
janv-09;15216588,58
févr-09;19036019,92
mars-09;17901790,5
avr-09;17420020,04
mai-09;14969396,15
juin-09;11213725,81
juil-09;20748027,57
août-09;15220568,49
sept-09;10464668,82
oct-09;15675317,27
nov-09;21179158,18
déc-09;22578542,67
janv-10;18898680,72
févr-10;20605225,1
mars-10;18681844,39
avr-10;18527967,4
mai-10;16206519,82
juin-10;10810073,88
juil-10;18562670,53
août-10;17079875,17
sept-10;10629413,04
oct-10;18551488,7
nov-10;19289015,27
déc-10;19258328
janv-11;14636544,97
févr-11;21682006,91
mars-11;17021516,97
avr-11;13795533,21
mai-11;15724786,94
juin-11;14570033,66
juil-11;20099230,21
août-11;17399295,6
sept-11;11327435,77
oct-11;19049672,58
nov-11;26557170,6
déc-11;25335806,57
janv-12;16164591
févr-12;17584697,06
mars-12;16400958,36
avr-12;20918778,75
mai-12;16262267,16
juin-12;14533941,79
juil-12;16980330,87
août-12;14084116,79
sept-12;11134988,17
oct-12;18062205,16
nov-12;22768963,18
déc-12;18688176,69
janv-13;14585535,17
févr-13;14422137,31
mars-13;19102255,92
avr-13;16604305,6
mai-13;17228013,05
juin-13;13807971,85
juil-13;13653016,02
août-13;14885178,32
sept-13;10205579,28
oct-13;17735293,21
nov-13;18381508,04
déc-13;23129820,22
janv-14;17721408,14
févr-14;17580417,38
mars-14;21120456,27
avr-14;19263606,89
mai-14;19684039,69
juin-14;11365123,8
juil-14;15622593,84
août-14;19535357,29
sept-14;9347864,701
oct-14;18508881,81
nov-14;17233761,76
déc-14;22095291,43
janv-15;16785491,01
févr-15;22549668,75
mars-15;17538377,24
avr-15;17966878,41
mai-15;14295494,62
juin-15;12193601,96
juil-15;18250627,54
août-15;15231426,75
sept-15;9482577,906
oct-15;19546879,99
nov-15;17319126,25
déc-15;24198567,57
janv-16;16754501,38
févr-16;26017394,41
mars-16;19698886,33
avr-16;18333275,6
mai-16;14202170,29
juin-16;11938933,47
juil-16;17574688,58
août-16;15521560,46
sept-16;10039080,44
oct-16;21330933,82
nov-16;17485526,65
déc-16;24307622,59
janv-17;16591232
févr-17;24941254
mars-17;19387759,26
avr-17;19384311,6
mai-17;13042008,66
juin-17;11631579,31
juil-17;17853991,44
août-17;16208072,22
sept-17;11286223,26
oct-17;18022875,25
nov-17;17288591,07
déc-17;23775223,93
janv-18;18287804,8
févr-18;22488897,64
mars-18;20859797,25
avr-18;18079657,95
mai-18;13918126,37
juin-18;10030454,48
juil-18;13943200,5
août-18;14646431,14
sept-18;10852423,64
oct-18;18332872,96
nov-18;18715022,71
déc-18;21058245,56
janv-19;18332185,97
févr-19;21966798,77
mars-19;18754531,68
avr-19;18059162,57
mai-19;15451500,14
juin-19;12482914,22
juil-19;18280406,17
août-19;16136798,25
sept-19;11229111,05
oct-19;19927985,76
nov-19;20365281,57
déc-19;22236965,83
janv-20;14705926,9
févr-20;17594145,75
mars-20;5944914,352
avr-20;0
mai-20;3402,007656
juin-20;1112770,992
juil-20;4826639,862
août-20;6691604,402
sept-20;5624690,862
oct-20;8756229,874
nov-20;1378,928032
déc-20;2010,071968
janv-21;3684,945539
févr-21;1901,325114
mars-21;3121,990311
avr-21;229,0265579
mai-21;3517993,461
juin-21;8618694,995
juil-21;14261904,95
août-21;11297641,31
sept-21;9305416,314
oct-21;14272095,61
nov-21;14045167,07
déc-21;20138332
