num;equipe;age;saut;barre;poutre;sol;total
1;C1;11;10,2;9,9;8,8;9,8;38,7
2;V;11;10;9,2;9,2;10,1;38,5
3;S1;13;9,7;9,1;9,8;9,7;38,3
4;A;12;9,3;9,4;9,6;9,9;38,2
5;G;13;9,7;9,1;9,4;9,9;38,1
6;B;13;10,1;9,3;9,5;9;37,9
7;N;12;9,9;10,2;8,3;9,3;37,7
8;C1;11;10;9,3;8,8;9,5;37,6
9;N;12;10;9,5;8,8;8,6;36,9
10;A;12;8,4;10,2;8,7;9,5;36,8
11;S;13;9,6;8,7;8,9;9,6;36,8
12;G;11;9,2;9;8,5;9,5;36,2
13;V;12;9,2;7,8;9,4;9,7;36,1
14;N;13;9,2;9,6;8,2;9;36
15;G;12;9;9,1;8,3;9,6;36
16;B;12;9,8;9,1;8;9;35,9
17;C2;12;8,2;9,6;8,7;9,3;35,8
18;V;13;9,2;9,3;8,1;9,2;35,8
19;E;11;9;8,4;9,1;9,3;35,8
20;S;12;9;8,5;8,4;9,8;35,7
21;C1;12;9,4;7,6;9,4;9,3;35,7
22;C2;13;8,4;8,4;8,8;9,1;34,7
23;V;11;9;8,7;8,8;9,2;35,7
24;L;12;8,7;9,4;8,3;9,2;35,6
25;E;13;10;7;9,4;9,2;35,6
26;N;11;9,2;8,4;8,2;9,4;35,2
27;B;11;8,5;9,8;8,3;8,6;35,2
28;N;12;9,3;9,1;8,1;8,6;35,1
29;L;13;8,2;8,7;8,5;9,6;35
30;B;11;9,2;8,7;8,4;8,6;34,9
31;L;11;8,6;8,6;8,3;9,4;34,9
32;S;13;8,5;8,8;7,9;9,7;34,9
33;C1;13;9,8;8,1;8,8;8,2;34,9
34;G;12;8,7;8,2;8,6;9,3;34,8
35;L;12;8,2;7,6;9,1;9,9;34,8
36;L;11;8,9;7,8;8,8;9,5;35
37;E;12;8,4;8,2;9;8,8;34,4
38;G;11;8,8;9,3;8,3;7,8;34,2
39;C2;12;8,1;7,7;8,5;9,6;33,9
40;C2;11;7,6;8,9;7,6;9,1;33,2
41;V;11;8,6;6,4;8,4;9,7;33,1
42;A;11;8,4;6,1;8,7;9,6;32,8
43;C2;12;8,6;7,8;8,5;7,9;32,8
44;V;11;8,9;6,1;8,4;9,4;32,8
45;I;12;8,2;6,6;8;9,6;32,4
46;S;12;8,6;5,7;8,8;9,3;32,4
47;E;10;9,6;8,7;7,1;7;32,4
48;I;12;8,3;6,4;7,7;9,3;31,7
49;A;10;7,9;6,4;7,4;9,9;31,6
50;A;11;6,6;8,8;6,5;9,3;31,2
51;I;11;8,5;5,4;7,3;9,6;30,8
52;S;13;8,5;5,2;7,2;9,2;30,1
53;C2;12;7,6;8;6,1;7,7;29,4
54;I;13;8,5;2,9;8,3;9,1;28,8
55;E;13;9,5;2,6;7,8;8,7;28,6
56;B;12;9,1;6,1;6;6,8;28
57;I;12;9,5;1,6;8,5;8,3;27,9
58;B;12;8,9;1,5;8,6;8,6;27,6
59;N;12;-0,1;7,9;8,8;9,8;26,4
60;S;13;0;0;0;0;0
61;C1;11;0;0;0;0;0
